s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
,,42.867704,-85.565109,,,,,,37.5045,-122.0329,,United States of America,
,,42.867704,-85.565109,,,,,,33.0501,-96.8745,,United States of America,
,,42.867704,-85.565109,,,,,,47.4194,-121.958,,United States of America,
,,42.867704,-85.565109,,,,,,41.4613,-83.4702,,United States of America,
,,42.867704,-85.565109,,,,,,42.4968,-83.2911,,United States of America,
,,42.867704,-85.565109,,,,,,42.8448,-85.9848,,United States of America,
,,42.867704,-85.565109,,,,,,45.2476,-93.275,,United States of America,
,,42.867704,-85.565109,,,,,,42.0118,-87.8434,,United States of America,
,,42.867704,-85.565109,,,,,,43.1413,-75.1547,,United States of America,
,,42.867704,-85.565109,,,,,,34.19,-82.15,,United States of America,
,,42.867704,-85.565109,,,,,,42.6199,-70.6818,,United States of America,
,,42.867704,-85.565109,,,,,,26.63,-81.99,,United States of America,
,,42.867704,-85.565109,,,,,,39.78,-89.64,,United States of America,
,,42.867704,-85.565109,,,,,,40.9086,-73.8217,,United States of America,
,,42.867704,-85.565109,,,,,,41.7177,-111.8365,,United States of America,
,,42.867704,-85.565109,,,,,,30.6613,-96.3226,,United States of America,
,,42.867704,-85.565109,,,,,,28.8136,-81.325,,United States of America,
,,42.867704,-85.565109,,,,,,40.4153,-74.2539,,United States of America,
,,42.867704,-85.565109,,,,,,33.7472,-117.9073,,United States of America,
,,42.867704,-85.565109,,,,,,33.1466,-96.8558,,United States of America,
,,42.867704,-85.565109,,,,,,44.08,-70.17,,United States of America,
,,42.867704,-85.565109,,,,,,37.6481,-121.85,,United States of America,
,,42.867704,-85.565109,,,,,,47.681,-122.1205,,United States of America,
,,42.867704,-85.565109,,,,,,44.8587,-93.5502,,United States of America,
