s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol
,,42.867704,-85.565109,,,,,,40.883548,-74.214388,,United States of America,
,,42.867704,-85.565109,,,,,,41.083159,-74.185895,,United States of America,
,,42.867704,-85.565109,,,,,,41.242702,-74.596734,,United States of America,
,,42.867704,-85.565109,,,,,,40.948689,-74.241168,,United States of America,
,,42.867704,-85.565109,,,,,,40.970621,-73.960164,,United States of America,
,,42.867704,-85.565109,,,,,,40.32955,-74.06153,,United States of America,
,,42.867704,-85.565109,,,,,,40.40789,-74.03431,,United States of America,
,,42.867704,-85.565109,,,,,,40.30466,-74.073433,,United States of America,
,,42.867704,-85.565109,,,,,,40.29733,-74.3582,,United States of America,
,,42.867704,-85.565109,,,,,,40.407507,-74.233788,,United States of America,
,,42.867704,-85.565109,,,,,,40.917598,-74.546651,,United States of America,
,,42.867704,-85.565109,,,,,,40.850884,-74.701558,,United States of America,
,,42.867704,-85.565109,,,,,,40.868804,-74.844734,,United States of America,
,,42.867704,-85.565109,,,,,,41.03343,-74.63849,,United States of America,
,,42.867704,-85.565109,,,,,,40.71275,-74.361594,,,
,,42.867704,-85.565109,,,,,,40.74093,-74.38376,,,
,,42.867704,-85.565109,,,,,,39.753858,-74.293989,,,
,,42.867704,-85.565109,,,,,,39.906532,-75.000166,,,
,,42.867704,-85.565109,,,,,,40.029586,-74.948936,,,
,,42.867704,-85.565109,,,,,,40.241808,-74.696151,,,
,,42.867704,-85.565109,,,,,,40.09425,-74.21176,,,
,,42.867704,-85.565109,,,,,,40.086235,-74.11085,,,
,,42.867704,-85.565109,,,,,,40.427697,-74.421695,,,
,,42.867704,-85.565109,,,,,,40.519753,-74.393444,,,
,,42.867704,-85.565109,,,,,,40.635369,-74.829976,,,
,,42.867704,-85.565109,,,,,,40.552925,-74.457746,,,
,,42.867704,-85.565109,,,,,,40.459205,-74.306956,,,
,,42.867704,-85.565109,,,,,,40.437705,-74.488547,,,
,,42.867704,-85.565109,,,,,,40.750422,-73.996328,,,
,,42.867704,-85.565109,,,,,,40.730223,-73.988564,,,
,,42.867704,-85.565109,,,,,,40.68863,-74.018244,,,
,,42.867704,-85.565109,,,,,,40.708834,-74.013168,,,
,,42.867704,-85.565109,,,,,,40.739024,-73.983542,,,
,,42.867704,-85.565109,,,,,,40.740916,-73.999769,,,
,,42.867704,-85.565109,,,,,,40.738088,-74.005095,,,
,,42.867704,-85.565109,,,,,,40.745527,-73.978449,,,
,,42.867704,-85.565109,,,,,,40.752955,-73.973196,,,
,,42.867704,-85.565109,,,,,,40.755332,-73.993172,,,
,,42.867704,-85.565109,,,,,,40.75953,-73.989847,,,
,,42.867704,-85.565109,,,,,,40.710223,-74.003368,,,
,,42.867704,-85.565109,,,,,,40.858692,-73.930999,,,
,,42.867704,-85.565109,,,,,,40.608389,-74.093684,,,
,,42.867704,-85.565109,,,,,,40.559668,-74.12241,,,
,,42.867704,-85.565109,,,,,,40.531767,-74.218779,,,
,,42.867704,-85.565109,,,,,,40.838729,-73.921605,,,
,,42.867704,-85.565109,,,,,,41.16845,-73.76197,,,
,,42.867704,-85.565109,,,,,,40.909449,-73.822109,,,
,,42.867704,-85.565109,,,,,,41.287329,-73.790284,,,
,,42.867704,-85.565109,,,,,,41.118595,-74.084536,,,
,,42.867704,-85.565109,,,,,,41.008947,-73.92093,,,
,,42.867704,-85.565109,,,,,,40.78842,-73.69425,,,
,,42.867704,-85.565109,,,,,,40.744622,-73.934502,,,
,,42.867704,-85.565109,,,,,,40.742794,-73.918216,,,
,,42.867704,-85.565109,,,,,,40.618779,-73.984826,,,
